Date,Queue,New,Resolved
2022-01-01,2902,1,47
2022-01-02,2864,0,16
2022-01-03,2849,0,16
2022-01-04,2837,1,15
2022-01-05,2827,0,13
2022-01-06,2818,1,11
2022-01-07,2810,0,11
2022-01-08,2801,0,11
2022-01-09,2793,0,11
2022-01-10,2782,0,11
2022-01-11,2771,0,11
2022-01-12,2761,0,11
2022-01-13,2750,0,11
2022-01-14,2739,0,11
2022-01-15,2728,0,11
2022-01-16,2717,0,11
2022-01-17,2706,0,11
2022-01-18,2695,0,10
2022-01-19,2685,0,9
2022-01-20,2676,0,9
2022-01-21,2669,0,9
2022-01-22,2662,0,9
2022-01-23,2657,0,9
2022-01-24,2651,0,8
2022-01-25,2644,0,7
2022-01-26,2639,0,7
2022-01-27,2633,0,7
2022-01-28,2627,0,7
2022-01-29,2625,2,7
2022-01-30,2620,0,7
2022-01-31,2615,0,7
2022-02-01,2610,0,7
2022-02-02,2606,0,7
2022-02-03,2602,0,7
2022-02-04,2595,0,7
2022-02-05,2588,0,7
2022-02-06,2581,0,7
2022-02-07,2574,0,7
2022-02-08,2568,0,7
2022-02-09,2562,0,7
2022-02-10,2555,0,7
2022-02-11,2550,0,7
2022-02-12,2543,0,7
2022-02-13,2536,0,7
2022-02-14,2529,0,7
2022-02-15,2522,0,7
2022-02-16,2516,0,7
2022-02-17,2511,1,7
2022-02-18,2506,0,7
2022-02-19,2500,0,6
2022-02-20,2495,0,6
2022-02-21,2489,0,6
2022-02-22,2484,0,6
2022-02-23,2481,0,6
2022-02-24,2475,0,6
2022-02-25,2470,0,6
2022-02-26,2464,0,6
2022-02-27,2460,0,6
2022-02-28,2455,0,6
2022-03-01,2449,0,6
2022-03-02,2444,0,6
2022-03-03,2438,0,6
2022-03-04,2435,0,6
2022-03-05,2429,0,6
2022-03-06,2424,0,6
2022-03-07,2419,1,6
2022-03-08,2415,0,6
2022-03-09,2410,0,6
2022-03-10,2404,0,6
2022-03-11,2399,0,6
2022-03-12,2395,0,6
2022-03-13,2391,0,6
2022-03-14,2386,1,6
2022-03-15,2383,1,6
2022-03-16,2377,0,6
2022-03-17,2372,0,6
2022-03-18,2366,0,6
2022-03-19,2361,0,6
2022-03-20,2356,0,6
2022-03-21,2351,0,6
2022-03-22,2348,0,6
2022-03-23,2346,0,6
2022-03-24,2344,0,6
2022-03-25,2341,0,6
2022-03-26,2338,0,5
2022-03-27,2337,0,5
2022-03-28,2334,0,5
2022-03-29,2331,0,5
2022-03-30,2329,0,5
2022-03-31,2327,0,5
2022-04-01,2323,0,5
2022-04-02,2318,0,4
2022-04-03,2315,0,3
2022-04-04,2312,0,3
2022-04-05,2309,0,3
2022-04-06,2306,0,3
2022-04-07,2305,1,3
2022-04-08,2302,0,3
2022-04-09,2301,0,3
2022-04-10,2299,0,3
2022-04-11,2297,0,3
2022-04-12,2294,0,3
2022-04-13,2292,0,3
2022-04-14,2289,0,3
2022-04-15,2286,0,3
2022-04-16,2285,0,3
2022-04-17,2283,1,3
2022-04-18,2281,0,3
2022-04-19,2279,0,3
2022-04-20,2277,0,3
2022-04-21,2274,0,3
2022-04-22,2271,0,3
2022-04-23,2268,0,3
2022-04-24,2265,0,3
2022-04-25,2262,0,3
2022-04-26,2259,0,3
2022-04-27,2257,0,3
2022-04-28,2254,0,3
2022-04-29,2251,0,3
2022-04-30,2249,0,3
2022-05-01,2247,0,3
2022-05-02,2244,0,3
2022-05-03,2241,0,3
2022-05-04,2238,0,3
2022-05-05,2237,0,3
2022-05-06,2234,0,3
2022-05-07,2232,0,3
2022-05-08,2231,0,3
2022-05-09,2228,0,3
2022-05-10,2226,0,3
2022-05-11,2223,0,3
2022-05-12,2221,0,3
2022-05-13,2218,0,3
2022-05-14,2216,1,3
2022-05-15,2214,0,3
2022-05-16,2211,0,3
2022-05-17,2210,0,3
2022-05-18,2207,0,3
2022-05-19,2204,0,3
2022-05-20,2201,0,3
2022-05-21,2201,0,3
2022-05-22,2199,0,3
2022-05-23,2196,0,3
2022-05-24,2194,1,3
2022-05-25,2192,0,3
2022-05-26,2189,0,3
2022-05-27,2187,0,3
2022-05-28,2184,0,3
2022-05-29,2181,0,3
